Index,URL,Domain,Path
1,https://www.magasin.ltd/,www.magasin.ltd,/
2,https://shopstyle.it/l/cgRZ9,shopstyle.it,/l/cgRZ9
3,https://shopstyle.it/l/chi3z,shopstyle.it,/l/chi3z
4,https://shareasale.com/r.cfm?b=2506991&u=2945491&m=151831&urllink=https://laurenmanoogian.com/products/double-knit-trench-2&afftrack=,shareasale.com,/r.cfm?b=2506991&u=2945491&m=151831&urllink=https://laurenmanoogian.com/products/double-knit-trench-2&afftrack=
5,https://click.linksynergy.com/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/the-row-gala-cady-wide-leg-pants-black-p00670061&u1=Laura-NL-S036073-2024-09-23,click.linksynergy.com,/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/the-row-gala-cady-wide-leg-pants-black-p00670061&u1=Laura-NL-S036073-2024-09-23
6,https://click.linksynergy.com/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/designers/the-row&u1=Laura-NL-S038985-2024-09-25,click.linksynergy.com,/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/designers/the-row&u1=Laura-NL-S038985-2024-09-25
7,https://shopstyle.it/l/chleK,shopstyle.it,/l/chleK
8,https://shopstyle.it/l/cgR0f,shopstyle.it,/l/cgR0f
9,https://shopstyle.it/l/chi1Z,shopstyle.it,/l/chi1Z
10,https://shareasale.com/r.cfm?b=2014986&u=3067693&m=124765&afftrack=Laura-NL-S035301-2024-10-20&urllink=https://shop-jamiehaller.com/products/the-penny-loafer-in-black,shareasale.com,/r.cfm?b=2014986&u=3067693&m=124765&afftrack=Laura-NL-S035301-2024-10-20&urllink=https://shop-jamiehaller.com/products/the-penny-loafer-in-black
11,https://click.linksynergy.com/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/the-row-patti-jersey-top-black-p00960840&u1=Laura-NL-S037375-2024-08-19,click.linksynergy.com,/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/the-row-patti-jersey-top-black-p00960840&u1=Laura-NL-S037375-2024-08-19
